escenario;criterio;algoritmo_ganador;variante;valor
PESO_FECHA=0.85;Menor fitness;GA;GA;1168.1579082591445
PESO_FECHA=0.85;Menos ordenes tarde;NN;MLP;3808.0
PESO_FECHA=0.85;Mayor % ordenes en fecha;NN;MLP;40.35087719298245
PESO_FECHA=0.85;Mayor % carga en fecha;NN;MLP;11.528504711302029
PESO_FECHA=0.85;Menor makespan;GA;GA;434.60301301608973
PESO_FECHA=0.85;Menor tardanza total;GA;GA;414810.07179754344
PESO_FECHA=1.00;Menor fitness;NN;MLP;1261.6555480129593
PESO_FECHA=1.00;Menos ordenes tarde;NN;MLP;3772.0
PESO_FECHA=1.00;Mayor % ordenes en fecha;NN;MLP;40.91478696741855
PESO_FECHA=1.00;Mayor % carga en fecha;NN;MLP;11.756654325262595
PESO_FECHA=1.00;Menor makespan;NN;MLP;430.39165923129895
PESO_FECHA=1.00;Menor tardanza total;NN;MLP;400811.8220516373
PESO_FECHA=0.00;Menor fitness;GA;GA;408.99750627578135
PESO_FECHA=0.00;Menos ordenes tarde;ENSEMBLE;ENSEMBLE;3815.0
PESO_FECHA=0.00;Mayor % ordenes en fecha;ENSEMBLE;ENSEMBLE;40.24122807017544
PESO_FECHA=0.00;Mayor % carga en fecha;GA;GA;14.086456046817583
PESO_FECHA=0.00;Menor makespan;GA;GA;408.99750627578135
PESO_FECHA=0.00;Menor tardanza total;ENSEMBLE;ENSEMBLE;399978.0351136917
